,mort,GDPc,clusters,index,res,Country,ISO-code
188,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
189,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
190,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
191,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
192,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
193,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
194,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
195,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
196,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
197,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
198,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
199,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
200,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
201,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
202,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
203,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
204,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
205,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
206,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
207,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
208,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
209,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
210,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
211,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
212,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
213,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
214,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
215,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
216,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
217,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
218,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
219,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
220,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
221,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
222,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
223,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
224,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
225,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
226,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
227,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
228,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
229,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
230,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
231,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
232,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
233,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
234,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
235,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
236,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
237,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
238,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
239,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
240,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
241,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
242,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
243,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
244,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
245,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
246,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
247,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
248,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
249,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
250,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
